CODE,STATE,COUNT,WORDS
AR,Arkansas,133.0,Navy; Usmc; 1973 2000; Supporter;
MS,Mississippi,239.0,Navy; Love; Trump; Pro;
NE,Nebraska,80.0,Navy;
KS,Kansas,129.0,Usmc; Change; Served; Jayhawk;
CA,California,2460.0,Navy; Marine; Army; Proud;
PA,Pennsylvania,704.0,Trump; Supporter; Usn; National;
SC,South Carolina,557.0,Navy; Retired; Keep; Usn;
MD,Maryland,234.0,Navy; Fan; Retired; U.S;
AK,Alaska,185.0,Live; Conservative; Kowkiler; Infowars;
TX,Texas,2582.0,Navy; Retired; Army; Usaf;
NC,North Carolina,815.0,Navy; Conservative; Retired; Marine;
KY,Kentucky,274.0,Navy; Retired; #Maga; Proud;
AZ,Arizona,706.0,Navy; #Maga; Usmc; Army;
NJ,New Jersey,360.0,Retired; Navy; Country; God;
TN,Tennessee,482.0,Retired; Marine; Navy; #Maga;
IA,Iowa,97.0,Iowa; Frmr; Navy; #Maga;
DE,Delaware,78.0,Real; Marine;
WA,Washington,930.0,Navy; Marine; Us; Proud;
NH,New Hampshire,80.0,
WV,West Virginia,188.0,Navy; #2A; #Maga; Air;
HI,Hawaii,169.0,Navy; Retired; Cwo3/7441; Cryptology;
VA,Virginia,737.0,Navy; Retired; Proud; Us;
OK,Oklahoma,281.0,Navy; High; School; United;
MO,Missouri,317.0,Marine; 2; Conservative; Navy;
VT,Vermont,73.0,
MA,Massachusetts,348.0,Navy; America; Retired; Trump;
MN,Minnesota,174.0,Navy; Fan; Trump; #Maga;
AL,Alabama,364.0,Love; Marine; God; #Maga;
MI,Michigan,634.0,Army; Wife; Conservative; Us;
IN,Indiana,436.0,Navy; Years; Love; Marine;
WY,Wyoming,70.0,American; Supporter; Family;
LA,Louisiana,386.0,Navy; #Usmcvet; #Surgicaltech; #Proudfather;
CLE,Ohio,874.0,Navy; #Maga; Marine; Family;
WI,Wisconsin,259.0,Disabled; Website; Cse; Inc;
ID,Idaho,125.0,Navy; Retired; Years; Member;
ND,North Dakota,36.0,Navy; Events; Leading; Next;
ME,Maine,220.0,Block; Usaf; Navy; Raised;
CT,Connecticut,137.0,Navy; Usmc;
IL,Illinois,599.0,Navy; Usmc; Marine; Christian;
FL,Florida,2414.0,Navy; Love; Conservative; Retired;
NM,New Mexico,152.0,Retired; Proud;
RI,Rhode Island,49.0,
CO,Colorado,504.0,Navy; Retired; Christian; Disabled;
GA,Georgia,883.0,Proud; Love; Navy; Uss;
NV,Nevada,328.0,Navy; Retired; Conservative; Us;
NY,New York,1592.0,Navy; U.S; Usmc; Army;
MT,Montana,115.0,Master; Navy; Country; Maga;
OR,Oregon,394.0,Navy; Us; Service; Now;
SD,South Dakota,44.0,
UT,Utah,90.0,Navy; American; Fan; Die;
