packr66,Big Kev
codeofvets,Gretchen Smith
moenjonh,Moenjonh
onemattjansen,Dave M
sjBaldwin7,n/a
SilverHog15,TJB
4TrumpMovement,*ShadowBanned for Muting Rude Liberals*
KSSchaack,KSS
grpalmer01,Glenn Palmer
zacharyebell,Zachary Bell
tmj_nj_vets,NJ Veteran Jobs
Ynot101,n/a
tmj_ga_vets,GA Veteran Jobs
mineisC,n/a
DavidMartin4NH,n/a
MTKHorses,n/a
DonnaPeterson4,n/a
ScannerMan563,n/a
AndiBear128,n/a
jeanniejinjin,JJ
RealMarquis7,n/a
Le123Ing,Le Ing
Italians4Trump,Italians For Trump
s_gd_usa,S GD
EmpiricalGuru,n/a
soniajanet27,SJT
JoeyEDawes,n/a
Domini_Templari,Dominici
RLiberalskiddin,n/a
LizOBrien30,Elizabeth L. O'Brien
debra_giese,n/a
oregonveteran,Oregon Veteran
UberDick,Uber Dick
VeteranOnMove,Veteran On The Move
teapartypathq,Tea Party Patriot HQ
tmj_CA_vets,CA Veteran Jobs
catherinevandeh,Catherine Ann
bgood12345,dolce
Pat_Donnachie,Pat Donnachie
IAH737driver,n/a
libertyraven,Danny for Trump
tmj_wi_vets,WI Veteran Jobs
bobsbabie1965,n/a
TxVeteransROC1,Outreach Coordinator
Krystal96852465,Krystal Phillips
alaphiah,alaphiah
hah0921,hhamberg
tmj_ut_vets,UT Veteran Jobs
JanosAuddron,Raziel
Red_Baron63,n/a
tmj_sd_vets,SD Veteran Jobs
ALD9119,ALD9119
GreatLaker1066,David
BrianWi63866040,Brian Wilson
Lessie1962,n/a
Daphene23058240,Daphene
VANorthTexas,VA NorthTexas
CanadayGeo,geo canaday
WeThePe65199714,We The People
novelpulse,n/a
FreedomChild3,((( Faith )))
SyracuseOVMA,Syracuse OVMA
Pets4Trump,Pets4Trump
TCuccio,n/a
vermont46,n/a
HappyPanda826,Trash Panda
KeelsUS,KeelsUS
MakeNEGrrAgain,Make NE Great Again
tmj_ks_vets,KS Veteran Jobs
VoteIndpndt,ColTim
EveShead,Eve Shead
R_del_Mar,Divergent-USA
traveliloveit,The Travel Bug
ltwist1,Twisty Girl
