rj_torrey,former Hill type
PoetTransparent,Transparent The Poet
Dirt101,Cody Sanburn
jcmorganauthor,John C Morgan
Siren_SantaCruz,Siren@SantaCruz
carltoersbijns,Carl Toersbijns
CruiseNavyFL,Capt. Mark Esher
tmentzerPR,Tom Mentzer
BobHarr1944,Bob Harrison
GenoPowell,GP
BariuDavid,n/a
JoanBen46634671,BingoJoan
megan_dagen,n/a
ps57,pps
madliberalmom,Mad Liberal Mom
PhillipRedacted,n/a
Steve66219458,Steve
RWITGuy,n/a
mhmck,Michael MacKay
kaden_gma,Kaden's Gma
skepticalfa,Skep Tock
DavidAWright1,#EndTheCorruption
