,state,total_vet_pop,female,med_inc,gulf2,gulf1,vietnam,korean,world2,peace,bachelor,enrolled,uninsured,disabil,VA,18-29,30-44,45-54,55-64,65+,-10k,10k-14.9k,15k-24.9k,25k-34.9k,35k-49.9k,50k-74.9,75k-99.9k,100k-149.9k,150k-199.9k,200k+,suicide_rate
2,United States (includes Puerto Rico),21369602,7.3,61884,11.5,12.1,33.4,10.3,7.8,25,26,4.45,6,16.4,27.9,4.56,13.51509963,15.12612635,23.07100993,43.72451579,3.1,3.2,8.2,9.9,14.9,21,14.5,15.2,5.5,4.7,53.6
3,Alabama,388865,7.691101025,57935,13.4,14.6,33.6,8.9,5.7,23.8,24.53499286,4.221259306,6.63160737,20.36105075,28.19230324,4.372982912,14.5,17.1,24.5,39.53557147,3.5,3.6,8.9,10.7,15.8,21,14.3,14,4.7,3.6,48.1
4,Alaska,71004,12.71055152,85518,24.2,17.8,30.8,4.2,2.5,20.5,25.5408146,7.372824066,9.296659343,20.46222748,28.82513661,9.357219312,20.6,20.1,25.28,24.69720016,1.7,2.4,4.6,5.8,10.1,17.7,16.8,22.8,11,7.1,39.1
5,Arizona,522382,7.692072085,60197,11.5,12.1,33.6,11,7.3,24.5,28.99334204,5.281384121,5.96019771,16.4088732,29.63731522,4.531358278,13.7,14.1,21.97,45.72535041,3.36,3.03,8.2,10.07,15.44,21.44,14.47,15,5.15,3.83,47.1
6,Arkansas,237311,7.139154949,50669,11.8,12.8,34.5,9.7,6.2,25,19.59833299,4.004449857,8.327890405,18.91526309,36.71216252,4.877565726,14.4,14.7,24.1,41.88638538,4.02,4.36,11.12,12.29,17.43,22.2,12.55,10.94,2.93,2.16,25.9
7,California,1893539,6.852565487,73722,11.4,10.7,33.9,10.8,8.5,24.7,30.68930717,5.488558725,5.461994709,15.36208127,25.68629429,5.238709105,12.9,13.7,22.1,46.15574329,2.61,2.94,6.61,7.91,12.1,18.69,14.58,18.64,8.3,7.61,33.3
8,Colorado,399458,9.064782781,68554,14.2,15.3,34.2,7.7,5.8,22.7,34.60188555,5.800359487,6.246213619,18.44023652,23.70687281,5.177014855,16.5,16.3,23.8,38.33193978,2.83,2.53,7.11,8.47,13.22,20.68,15.65,17.02,6.9,5.6,0
9,Connecticut,217947,4.825943922,75777,7.4,8.4,33.7,13,11.6,25.9,30.22799121,3.096624409,3.092494964,10.7498612,25.76085011,2.941540833,9.4,13.3,21.7,52.59902637,2.18,2.09,6.32,7.74,12.46,18.64,14.95,19.64,8.15,7.84,40.4
10,Delaware,75081,8.231110401,69677,12,11.3,33.5,9.9,7.2,26.1,25.89603229,3.878477911,4.23808953,13.23637139,19.58018673,3.921098547,12.7,16.2,23,44.08172507,1.91,2.03,6.7,7.98,13.9,21.62,16.76,17.98,6.36,4.75,30.7
11,District of Columbia,30520,9.541284404,79629,15.3,11.6,28.7,10.4,8.3,25.8,44.16120577,5.517693316,3.78440367,17.03800786,29.11205767,4.862385321,16,16.5,21.7,40.91743119,5.51,4.19,6.61,5.95,9.04,16.24,10.85,17.25,9.08,15.28,30
